timestamp,asset_id,depot,shift,asset_age_months,vibration_g,temperature_c,pressure_psi,acoustic_db,motor_current_a,error_events,constant_sensor,time_to_failure_hours,health_status,fault_type,failure_within_7_days,vibration_roll_mean_6,vibration_rms_6,vibration_peak_to_peak_6,temp_roll_mean_6
01/01/2026 00:00,PUMP-001,North,Day,15,1.3056,64.4815,123.4455,69.9614,34.8057,0,1,641.33,Healthy,Normal,0,1.3056,1.3056,0,64.4815
01/01/2026 06:00,PUMP-001,North,Night,15,1.8329,65.2009,121.4905,70.8481,34.6576,1,1,658.44,Healthy,Normal,0,1.56925,1.591243817,0.5273,64.8412
01/01/2026 12:00,PUMP-001,North,Day,15,1.7601,63.9732,123.042,69.1901,36.7452,0,1,638.09,Healthy,Normal,0,1.632866667,1.649450998,0.5273,64.55186667
01/01/2026 18:00,PUMP-001,North,Night,15,2.0155,63.6278,122.7399,68.1283,36.8624,0,1,644.73,Healthy,Normal,0,1.728525,1.748163753,0.7099,64.32085
02/01/2026 00:00,PUMP-001,North,Day,15,1.3916,65.4224,127.2597,71.2493,35.0683,0,1,633.2,Healthy,Normal,0,1.66114,1.682905618,0.7099,64.54116
02/01/2026 06:00,PUMP-001,North,Day,15,1.6969,64.6538,127.028,70.1554,36.4048,0,1,664.97,Healthy,Normal,0,1.6671,1.685246085,0.7099,64.55993333
02/01/2026 12:00,PUMP-001,North,Night,15,1.5453,63.2094,123.5934,73.4384,34.7878,0,1,664.39,Healthy,Normal,0,1.70705,1.718705275,0.6239,64.34791667
02/01/2026 18:00,PUMP-001,North,Night,15,1.6593,65.4146,127.1444,71.8247,35.5118,0,1,597.41,Healthy,Normal,0,1.678116667,1.689055012,0.6239,64.38353333
03/01/2026 00:00,PUMP-001,North,Day,15,1.3104,62.2114,121.2739,71.1435,36.1994,0,1,622.25,Healthy,Normal,0,1.603166667,1.619497718,0.7051,64.0899
03/01/2026 06:00,PUMP-001,North,Night,15,1.7426,63.8025,126.2283,68.4776,35.4917,0,1,634.7,Healthy,Normal,0,1.557683333,1.565835861,0.4322,64.11901667
03/01/2026 12:00,PUMP-001,North,Day,15,1.4555,64.2738,126.3146,71.027,36.9315,0,1,610.16,Healthy,Normal,0,1.568333333,1.575488356,0.4322,63.92758333
03/01/2026 18:00,PUMP-001,North,Night,15,1.3263,61.7546,119.8222,67.7063,36.5597,1,1,562.82,Healthy,Normal,0,1.506566667,1.515067844,0.4322,63.44438333
04/01/2026 00:00,PUMP-001,North,Night,15,1.7628,62.6788,123.8444,67.8149,35.5254,0,1,629.46,Healthy,Normal,0,1.542816667,1.554139375,0.4524,63.35595
04/01/2026 06:00,PUMP-001,North,Day,15,1.5828,63.1819,119.3781,70.1659,35.2587,0,1,581.48,Healthy,Normal,0,1.530066667,1.540783055,0.4524,62.98383333
04/01/2026 12:00,PUMP-001,North,Night,15,1.5869,62.5171,125.2293,70.506,37.9029,0,1,567.44,Healthy,Normal,0,1.57615,1.583518129,0.4365,63.03478333
04/01/2026 18:00,PUMP-001,North,Day,15,1.326,63.0998,121.2483,69.1034,34.0726,0,1,575.33,Healthy,Normal,0,1.506716667,1.514749662,0.4368,62.91766667
05/01/2026 00:00,PUMP-001,North,Night,15,1.4472,64.9237,127.6012,74.5925,40.0794,1,1,615.17,Healthy,Normal,0,1.505333333,1.513423647,0.4368,63.02598333
05/01/2026 06:00,PUMP-001,North,Day,15,1.3937,63.5037,122.3804,69.6762,37.4924,1,1,582.86,Healthy,Normal,0,1.516566667,1.523484757,0.4368,63.3175
05/01/2026 12:00,PUMP-001,North,Day,15,1.4525,64.1545,130.9485,70.2996,37.3758,1,1,575.16,Healthy,Normal,0,1.46485,1.467896865,0.2609,63.56345
05/01/2026 18:00,PUMP-001,North,Day,15,1.9231,62.7729,127.6025,67.9233,37.3042,0,1,549.76,Healthy,Normal,0,1.521566667,1.534133034,0.5971,63.49528333
06/01/2026 00:00,PUMP-001,North,Day,15,1.4221,65.0543,122.946,67.1811,34.2109,1,1,536.16,Healthy,Normal,0,1.4941,1.506956193,0.5971,63.91815
06/01/2026 06:00,PUMP-001,North,Night,15,1.6815,66.7102,125.3737,69.0549,37.5488,0,1,497.14,Healthy,Normal,0,1.55335,1.564963687,0.5294,64.51988333
06/01/2026 12:00,PUMP-001,North,Day,15,1.3196,61.7887,130.5273,73.9644,35.7487,0,1,492.93,Healthy,Normal,0,1.532083333,1.546050041,0.6035,63.99738333
06/01/2026 18:00,PUMP-001,North,Night,15,1.883,62.7488,126.8999,69.0924,35.9928,0,1,513.9,Healthy,Normal,0,1.613633333,1.630179626,0.6035,63.87156667
07/01/2026 00:00,PUMP-001,North,Day,15,1.5563,65.4104,117.2033,69.8879,34.8195,0,1,537.08,Healthy,Normal,0,1.630933333,1.64606739,0.6035,64.08088333
07/01/2026 06:00,PUMP-001,North,Night,15,1.7949,61.9718,124.6942,68.8864,35.5413,0,1,497.09,Healthy,Normal,0,1.609566667,1.621757253,0.5634,63.94736667
07/01/2026 12:00,PUMP-001,North,Night,15,1.6022,63.1067,123.7781,70.5577,36.2472,0,1,501.83,Healthy,Normal,0,1.639583333,1.649507803,0.5634,63.62276667
07/01/2026 18:00,PUMP-001,North,Day,15,1.9931,67.6297,121.5123,69.339,33.9512,0,1,490.43,Healthy,Normal,0,1.691516667,1.706373411,0.6735,63.77601667
08/01/2026 00:00,PUMP-001,North,Day,15,1.4088,63.0739,116.8537,69.6259,34.5126,1,1,504.71,Healthy,Normal,0,1.706383333,1.718217807,0.5843,63.99021667
08/01/2026 06:00,PUMP-001,North,Day,15,1.7423,64.0817,118.2561,66.6258,38.9809,0,1,512.32,Healthy,Normal,0,1.682933333,1.693298304,0.5843,64.21236667
08/01/2026 12:00,PUMP-001,North,Night,15,2.1529,62.2505,123.2583,70.7856,38.4202,0,1,485.89,Healthy,Normal,0,1.782366667,1.798910022,0.7441,63.68571667
08/01/2026 18:00,PUMP-001,North,Night,15,1.7083,63.6823,124.1022,66.8377,35.6666,0,1,468.43,Healthy,Normal,0,1.767933333,1.784800945,0.7441,63.9708
09/01/2026 00:00,PUMP-001,North,Day,15,1.6249,66.0742,125.1435,70.809,36.0744,1,1,460.4,Healthy,Normal,0,1.771716667,1.788217998,0.7441,64.46538333
09/01/2026 06:00,PUMP-001,North,Day,15,2.0465,68.0191,130.248,70.8874,34.9317,0,1,455.73,Healthy,Normal,0,1.780616667,1.798242489,0.7441,64.53028333
09/01/2026 12:00,PUMP-001,North,Day,15,1.7544,64.7243,126.3125,65.9875,37.2984,2,1,449.67,Warning,Normal,0,1.838216667,1.848208962,0.528,64.80535
09/01/2026 18:00,PUMP-001,North,Night,15,1.5774,64.1731,123.6768,70.3509,38.0601,0,1,455.68,Healthy,Normal,0,1.810733333,1.823359522,0.5755,64.82058333
10/01/2026 00:00,PUMP-001,North,Night,15,1.6833,63.6899,118.2598,70.7544,38.4183,0,1,423.27,Healthy,Normal,0,1.732466667,1.739078308,0.4691,65.06048333
10/01/2026 06:00,PUMP-001,North,Day,15,1.529,62.3561,123.3799,72.9901,36.8157,0,1,409.74,Healthy,Normal,0,1.702583333,1.711038294,0.5175,64.83945
10/01/2026 12:00,PUMP-001,North,Day,15,1.8539,65.0415,127.5647,69.3179,36.0932,0,1,408.25,Healthy,Normal,0,1.74075,1.749407398,0.5175,64.66733333
10/01/2026 18:00,PUMP-001,North,Day,15,1.6808,63.9082,128.8004,71.727,38.5489,0,1,463.73,Healthy,Normal,0,1.6798,1.68322527,0.3249,63.98218333
11/01/2026 00:00,PUMP-001,North,Day,15,1.329,63.3184,130.0244,71.4663,35.0215,1,1,449.2,Healthy,Normal,0,1.6089,1.61698307,0.5249,63.74786667
11/01/2026 06:00,PUMP-001,North,Day,15,1.5962,66.3309,126.7755,64.73,36.4261,0,1,404.07,Healthy,Normal,0,1.612033333,1.620054998,0.5249,64.1075
11/01/2026 12:00,PUMP-001,North,Day,15,1.1686,63.1874,126.7112,66.3623,38.0663,0,1,387.68,Healthy,Normal,0,1.52625,1.542703053,0.6853,64.02375
11/01/2026 18:00,PUMP-001,North,Night,15,1.7765,66.2826,125.4223,70.5391,36.3785,0,1,405.54,Healthy,Normal,0,1.5675,1.586280109,0.6853,64.67816667
12/01/2026 00:00,PUMP-001,North,Day,15,1.609,66.051,120.7732,69.7125,38.074,0,1,415.73,Healthy,Normal,0,1.526683333,1.541084212,0.6079,64.84641667
12/01/2026 06:00,PUMP-001,North,Night,15,1.782,64.3799,129.3682,71.9706,37.1785,0,1,334.14,Healthy,Normal,0,1.54355,1.559918729,0.6134,64.92503333
12/01/2026 12:00,PUMP-001,North,Night,15,1.2694,67.247,122.9362,70.2481,37.8334,1,1,422.43,Healthy,Normal,0,1.533616667,1.551623559,0.6134,65.5798
12/01/2026 18:00,PUMP-001,North,Day,15,1.6191,65.1949,125.5785,66.7506,32.7659,1,1,366.97,Healthy,Normal,0,1.537433333,1.555573012,0.6134,65.39046667
13/01/2026 00:00,PUMP-001,North,Day,15,1.5649,65.6196,125.4091,71.2191,35.0135,0,1,367.28,Healthy,Normal,0,1.603483333,1.612561649,0.5126,65.79583333
13/01/2026 06:00,PUMP-001,North,Day,15,1.4691,65.1895,123.6269,69.7297,37.1613,0,1,397.12,Healthy,Normal,0,1.55225,1.560151328,0.5126,65.61365
13/01/2026 12:00,PUMP-001,North,Day,15,1.12,63.0305,127.2819,69.3448,36.2769,0,1,328.14,Healthy,Normal,0,1.47075,1.48716464,0.662,65.11023333
13/01/2026 18:00,PUMP-001,North,Day,15,1.4015,66.6878,124.9156,68.074,35.1678,0,1,375.32,Healthy,Normal,0,1.407333333,1.417664173,0.4991,65.49488333
