timestamp,asset_id,depot,shift,asset_age_months,vibration_g,temperature_c,pressure_psi,acoustic_db,motor_current_a,error_events,constant_sensor,time_to_failure_hours,health_status,fault_type,failure_within_7_days
01/01/2026 00:00,PUMP-001,North,Day,15,1.3056,64.4815,123.4455,69.9614,34.8057,0,1,641.33,Healthy,Normal,0
01/01/2026 06:00,PUMP-001,North,Night,15,1.8329,65.2009,121.4905,70.8481,34.6576,1,1,658.44,Healthy,Normal,0
01/01/2026 12:00,PUMP-001,North,Day,15,1.7601,63.9732,123.042,69.1901,36.7452,0,1,638.09,Healthy,Normal,0
01/01/2026 18:00,PUMP-001,North,Night,15,2.0155,63.6278,122.7399,68.1283,36.8624,0,1,644.73,Healthy,Normal,0
02/01/2026 00:00,PUMP-001,North,Day,15,1.3916,65.4224,127.2597,71.2493,35.0683,0,1,633.2,Healthy,Normal,0
02/01/2026 06:00,PUMP-001,North,Day,15,1.6969,64.6538,127.028,70.1554,36.4048,0,1,664.97,Healthy,Normal,0
02/01/2026 12:00,PUMP-001,North,Night,15,1.5453,63.2094,123.5934,73.4384,34.7878,0,1,664.39,Healthy,Normal,0
02/01/2026 18:00,PUMP-001,North,Night,15,1.6593,65.4146,127.1444,71.8247,35.5118,0,1,597.41,Healthy,Normal,0
03/01/2026 00:00,PUMP-001,North,Day,15,1.3104,62.2114,121.2739,71.1435,36.1994,0,1,622.25,Healthy,Normal,0
03/01/2026 06:00,PUMP-001,North,Night,15,1.7426,63.8025,126.2283,68.4776,35.4917,0,1,634.7,Healthy,Normal,0
03/01/2026 12:00,PUMP-001,North,Day,15,1.4555,64.2738,126.3146,71.027,36.9315,0,1,610.16,Healthy,Normal,0
03/01/2026 18:00,PUMP-001,North,Night,15,1.3263,61.7546,119.8222,67.7063,36.5597,1,1,562.82,Healthy,Normal,0
04/01/2026 00:00,PUMP-001,North,Night,15,1.7628,62.6788,123.8444,67.8149,35.5254,0,1,629.46,Healthy,Normal,0
04/01/2026 06:00,PUMP-001,North,Day,15,1.5828,63.1819,119.3781,70.1659,35.2587,0,1,581.48,Healthy,Normal,0
04/01/2026 12:00,PUMP-001,North,Night,15,1.5869,62.5171,125.2293,70.506,37.9029,0,1,567.44,Healthy,Normal,0
04/01/2026 18:00,PUMP-001,North,Day,15,1.326,63.0998,121.2483,69.1034,34.0726,0,1,575.33,Healthy,Normal,0
05/01/2026 00:00,PUMP-001,North,Night,15,1.4472,64.9237,127.6012,74.5925,40.0794,1,1,615.17,Healthy,Normal,0
05/01/2026 06:00,PUMP-001,North,Day,15,1.3937,63.5037,122.3804,69.6762,37.4924,1,1,582.86,Healthy,Normal,0
05/01/2026 12:00,PUMP-001,North,Day,15,1.4525,64.1545,130.9485,70.2996,37.3758,1,1,575.16,Healthy,Normal,0
05/01/2026 18:00,PUMP-001,North,Day,15,1.9231,62.7729,127.6025,67.9233,37.3042,0,1,549.76,Healthy,Normal,0
06/01/2026 00:00,PUMP-001,North,Day,15,1.4221,65.0543,122.946,67.1811,34.2109,1,1,536.16,Healthy,Normal,0
06/01/2026 06:00,PUMP-001,North,Night,15,1.6815,66.7102,125.3737,69.0549,37.5488,0,1,497.14,Healthy,Normal,0
06/01/2026 12:00,PUMP-001,North,Day,15,1.3196,61.7887,130.5273,73.9644,35.7487,0,1,492.93,Healthy,Normal,0
06/01/2026 18:00,PUMP-001,North,Night,15,1.883,62.7488,126.8999,69.0924,35.9928,0,1,513.9,Healthy,Normal,0
